geoid,gisjoin,state_fips,state_name,state_abbr,county_name,county_fips,tract_fips,area_km2,centroid_x,very_low_mf_own_hh,very_low_mf_rent_hh,very_low_sf_own_hh,very_low_sf_rent_hh,low_mf_own_hh,low_mf_rent_hh,low_sf_own_hh,low_sf_rent_hh,mod_mf_own_hh,mod_mf_rent_hh,mod_sf_own_hh,mod_sf_rent_hh,mid_mf_own_hh,mid_mf_rent_hh,mid_sf_own_hh,mid_sf_rent_hh,high_mf_own_hh,high_mf_rent_hh,high_sf_own_hh,high_sf_rent_hh,very_low_mf_own_bldg_cnt,very_low_mf_rent_bldg_cnt,high_sf_rent_elep_hh,company_na,company_ty,avg_monthly_consumption_kwh,avg_monthly_bill_dlrs,dlrs_kwh,avg_pbi_usd_p_kwh,avg_cbi_usd_p_w,avg_ibi_pct,hh_size_1,hh_size_2,hh_size_3,hh_size_4,fam_med_income,hh_med_income,hh_gini_index,pop_over_65,pop_under_18,hu_monthly_owner_costs_lessthan_1000dlrs,hu_monthly_owner_costs_greaterthan_1000dlrs,hu_own,hu_rent,hu_vintage_2010toafter,hu_vintage_2000to2009,hu_vintage_1980to1999,hu_vintage_1960to1970,hu_vintage_1940to1959,hu_vintage_1939toearlier,climate_zone_description,locale
53027000800,G5300270000800,53,Washington,WA,Grays Harbor County,27,800,90.63620822,-123.7057434,0,66,129,108,0,28,69,24,0,32,129,48,1,46,267,37,1,43,425,62,0,11.7595,112.105141,PUD No 1 of Grays Harbor County,PSubdiv,1032.383515,111.8071863,0.10830005,,,,479,774,125,354,54398,47143,0.4256,986,923,910,598,842,549,10,170,240,743,308,261,Mixed,Rural - Fringe
53027000900,G5300270000900,53,Washington,WA,Grays Harbor County,27,900,24.72360518,-123.7881578,1,58,116,108,0,46,86,51,0,58,197,77,3,48,264,61,3,62,577,95,0.5872,9.876,112.105141,PUD No 1 of Grays Harbor County,PSubdiv,1032.383515,111.8071863,0.10830005,,,,520,754,393,510,50179,46188,0.3554,814,1426,750,530,764,2511,0,141,256,1023,436,321,Mixed,Town - Remote
53007960300,G5300070960300,53,Washington,WA,Chelan County,7,960300,502.23953,-120.1521488,5,89,160,118,1,49,112,40,6,96,241,95,1,97,260,103,23,119,698,73,2.6673,15.1095,61.310778,PUD No 1 of Chelan County,PSubdiv,1680.106738,54.31087335,0.032325847,,,,828,1217,212,412,59955,49063,0.4218,1404,1396,986,856,1018,3138,29,429,828,403,573,407,Cool,Rural - Fringe
53025010200,G5300250010200,53,Washington,WA,Grant County,25,10200,1104.712365,-119.1643037,0,22,24,39,0,12,25,7,0,19,42,24,0,27,68,31,1,42,304,56,0.5442,5.1315,99.9748595,PUD No 2 of Grant County,PSubdiv,1500.474507,90.52065307,0.060328018,,,,236,348,138,272,72596,64359,0.4343,562,690,472,388,486,403,11,148,341,246,96,152,Cool,Rural - Distant
53051970500,G5300510970500,53,Washington,WA,Pend Oreille County,51,970500,170.070305,-117.13201,0,21,113,55,1,2,24,15,2,13,84,25,1,4,110,24,2,10,255,22,0,2.312,126.589106,PUD No 1 of Pend Oreille County,PSubdiv,1361.904176,96.11124739,0.070571226,,,,255,515,81,151,50114,42550,0.4273,533,419,646,210,410,338,9,158,370,370,67,28,Cold,Rural - Distant
53063010503,G5300630010503,53,Washington,WA,Spokane County,63,10503,74.51667658,-117.4675228,0,42,42,31,0,27,30,23,2,28,90,28,10,72,277,54,29,166,1362,98,0,5.0794,100.997185,Avista Corp,IOU,895.7579186,86.44282301,0.096502438,,,,350,901,529,794,93603,85327,0.3765,1092,2029,796,1581,1621,570,80,652,881,856,105,0,Cool,Rural - Fringe
53077002701,G5300770002701,53,Washington,WA,Yakima County,77,2701,390.5170036,-120.0103812,0,28,36,43,1,13,15,16,1,38,81,46,1,31,87,20,4,28,180,33,0.2681,5.095,127.47937,Benton Rural Electric Association,DistCoop,1470.476836,125.2824075,0.085198491,,,,88,204,128,360,42797,42988,0.3726,308,1000,397,161,323,1023,0,163,133,197,112,175,Cool,Rural - Distant
53077001601,G5300770001601,53,Washington,WA,Yakima County,77,1601,77.0743509,-120.411063,0,13,15,26,1,3,10,8,2,14,69,31,3,29,117,36,2,39,291,25,0,2.8473,127.47937,PacifiCorp,IOU,1208.968667,106.3318784,0.087952551,,,,127,419,98,181,70273,56781,0.3346,368,453,356,337,460,451,9,182,294,241,40,59,Cool,Rural - Fringe
53077001602,G5300770001602,53,Washington,WA,Yakima County,77,1602,21.95088764,-120.4516973,0,84,79,104,2,27,29,22,3,82,213,94,8,90,289,92,13,91,951,115,0.2699,17.7527,127.47937,PacifiCorp,IOU,1208.968667,106.3318784,0.087952551,,,,650,1077,492,497,66295,56351,0.4334,1167,1570,940,1185,1409,1911,51,390,1001,769,448,57,Cool,Suburban - Midsize
53077002801,G5300770002801,53,Washington,WA,Yakima County,77,2801,91.91840013,-120.7188694,0,41,37,29,0,12,20,17,1,66,129,52,0,57,183,60,9,98,734,71,0.2689,8.0608,127.47937,PacifiCorp,IOU,1208.968667,106.3318784,0.087952551,,,,321,773,231,483,66799,65169,0.3506,1086,1074,712,896,1014,503,10,332,638,303,235,290,Cool,Rural - Fringe
